,league,gamelength,result,k,d,a,fb,kpm,okpm,ckpm,fd,fdtime,teamdragkills,oppdragkills,elementals,oppelementals,firedrakes,waterdrakes,earthdrakes,airdrakes,elders,oppelders,herald,heraldtime,ft,fttime,firstmidouter,firsttothreetowers,teambaronkills,oppbaronkills,dmgtochamps,dmgtochampsperminute,wards,wpm,wardkills,wcpm,totalgold,earnedgpm,goldspent,gspd,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,oppgoldat10,gdat10,goldat15,oppgoldat15,gdat15,xpat10,oppxpat10,xpdat10,csat10,oppcsat10,csdat10,csat15,oppcsat15,csdat15
92,LCK,26.93333333,0,3,15,4,0,0.11138613859999999,0.5569306931,0.6683168317,0,16.6541,0,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.65658333,0.0,15.30201667,0.0,0,0.0,1.0,29660.0,1101.237624,90.0,3.3415841580000003,50.0,1.856435644,41501.0,877.7153465,39870.0,-0.175661763,128.0,4.0,33.08168317,15160.0,16324.0,-1164.0,23682.0,25941.0,-2259.0,18482.0,19854.0,-1372.0,332.0,342.0,-10.0,546.0,554.0,-8.0
93,LCK,26.93333333,1,15,3,41,1,0.5569306931,0.11138613859999999,0.6683168317,1,16.6541,2,0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,11.65658333,1.0,15.30201667,1.0,1,1.0,0.0,41638.0,1545.965347,124.0,4.603960396000001,41.0,1.522277228,56883.0,1448.829208,47548.0,0.175661763,118.0,17.0,36.75742574,16324.0,15160.0,1164.0,25941.0,23682.0,2259.0,19854.0,18482.0,1372.0,342.0,332.0,10.0,554.0,546.0,8.0
94,LCK,33.45,1,13,2,27,1,0.38863976079999996,0.05979073244,0.44843049329999995,1,10.75596667,2,1,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,12.69035,1.0,15.75255,1.0,1,2.0,0.0,41745.0,1247.9820630000002,124.0,3.707025411,52.0,1.554559043,61453.0,1183.964126,56293.0,0.1367419174,113.0,21.0,29.77578475,15210.0,14439.0,771.0,23764.0,21455.0,2309.0,18471.0,18176.0,295.0,314.0,294.0,20.0,483.0,458.0,25.0
95,LCK,33.45,0,2,13,2,0,0.05979073244,0.38863976079999996,0.44843049329999995,0,10.75596667,1,2,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.69035,0.0,15.75255,0.0,0,0.0,2.0,36996.0,1106.008969,127.0,3.79671151,44.0,1.3153961140000001,49978.0,840.9147982000001,49088.0,-0.1367419174,136.0,4.0,31.62929746,14439.0,15210.0,-771.0,21455.0,23764.0,-2309.0,18176.0,18471.0,-295.0,294.0,314.0,-20.0,458.0,483.0,-25.0
96,CBLoL,28.0,0,5,16,8,1,0.1785714286,0.5714285714,0.75,0,10.14361667,1,3,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.78686667,0.0,13.43253333,0.0,0,0.0,1.0,46254.0,1651.9285710000001,89.0,3.178571429,36.0,1.285714286,43730.0,900.5714286,40860.0,-0.1307256819,96.0,16.0,31.35714286,15454.0,14827.0,627.0,22857.0,26915.0,-4058.0,17802.0,18553.0,-751.0,299.0,289.0,10.0,469.0,493.0,-24.0
97,CBLoL,28.0,1,16,5,34,0,0.5714285714,0.1785714286,0.75,1,10.14361667,3,1,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,12.78686667,1.0,13.43253333,1.0,1,1.0,0.0,48816.0,1743.4285710000001,118.0,4.214285714,39.0,1.392857143,55721.0,1328.8214289999999,46575.0,0.1307256819,88.0,37.0,32.42857143,14827.0,15454.0,-627.0,26915.0,22857.0,4058.0,18553.0,17802.0,751.0,289.0,299.0,-10.0,493.0,469.0,24.0
98,LCK,50.01666667,0,11,16,27,1,0.2199266911,0.31989336890000003,0.53982006,0,9.574833332999999,3,4,2.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,12.41073333,1.0,14.49465,0.0,0,3.0,1.0,70279.0,1405.111629,241.0,4.818393868999999,101.0,2.019326891,87509.0,1110.045985,86258.0,0.026167433990000002,192.0,15.0,30.66977674,15256.0,14723.0,533.0,24034.0,22976.0,1058.0,18921.0,18410.0,511.0,330.0,326.0,4.0,531.0,553.0,-22.0
99,LCK,50.01666667,1,16,11,33,0,0.31989336890000003,0.2199266911,0.53982006,1,9.574833332999999,4,3,3.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,12.41073333,0.0,14.49465,1.0,1,1.0,3.0,97884.0,1957.027657,214.0,4.278573809,100.0,1.999333555,90137.0,1162.588471,84030.0,-0.026167433990000002,196.0,15.0,33.04898367,14723.0,15256.0,-533.0,22976.0,24034.0,-1058.0,18410.0,18921.0,-511.0,326.0,330.0,-4.0,553.0,531.0,22.0
100,LCK,27.46666667,0,2,9,3,0,0.07281553397999999,0.3276699029,0.4004854369,0,7.021783332999999,2,2,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,13.88271667,0.0,13.58595,0.0,0,0.0,1.0,27233.0,991.4927184000001,96.0,3.495145631,36.0,1.310679612,42482.0,884.5048544,40660.0,-0.1927884882,90.0,16.0,34.33252427,15238.0,15803.0,-565.0,23367.0,27739.0,-4372.0,18870.0,19070.0,-200.0,338.0,369.0,-31.0,523.0,604.0,-81.0
101,LCK,27.46666667,1,9,2,23,1,0.3276699029,0.07281553397999999,0.4004854369,1,7.021783332999999,2,2,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,13.88271667,1.0,13.58595,1.0,1,1.0,0.0,48524.0,1766.6504850000001,99.0,3.604368932,51.0,1.8567961169999998,58745.0,1476.604369,49335.0,0.1927884882,119.0,21.0,42.77912621,15803.0,15238.0,565.0,27739.0,23367.0,4372.0,19070.0,18870.0,200.0,369.0,338.0,31.0,604.0,523.0,81.0
102,LCK,38.71666667,1,12,2,29,1,0.30994403789999997,0.05165733965,0.3616013775,1,17.0388,3,1,3.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,14.33943333,1.0,16.60525,1.0,1,2.0,0.0,97654.0,2522.272923,115.0,2.97029703,65.0,1.678863539,77372.0,1350.823935,69350.0,0.06478697115,176.0,19.0,38.48471804,15772.0,15260.0,512.0,25538.0,23375.0,2163.0,19642.0,18888.0,754.0,351.0,330.0,21.0,564.0,522.0,42.0
103,LCK,38.71666667,0,2,12,4,0,0.05165733965,0.30994403789999997,0.3616013775,0,17.0388,1,3,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.33943333,0.0,16.60525,0.0,0,0.0,2.0,49159.0,1269.7115800000001,159.0,4.106758502,49.0,1.265604821,66196.0,1062.1627210000001,64998.0,-0.06478697115,184.0,10.0,37.03831253,15260.0,15772.0,-512.0,23375.0,25538.0,-2163.0,18888.0,19642.0,-754.0,330.0,351.0,-21.0,522.0,564.0,-42.0
104,LCK,34.35,0,5,18,14,0,0.1455604076,0.5240174672,0.6695778748,1,11.26703333,1,2,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.51576667,1.0,15.9567,1.0,1,1.0,1.0,55128.0,1604.89083,118.0,3.4352256189999997,64.0,1.863173217,60172.0,1099.6157210000001,59600.0,0.007274686784,151.0,18.0,34.61426492,15153.0,14857.0,296.0,23553.0,23055.0,498.0,18755.0,17956.0,799.0,345.0,300.0,45.0,552.0,489.0,63.0
105,LCK,34.35,1,18,5,53,1,0.5240174672,0.1455604076,0.6695778748,0,11.26703333,2,1,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,14.51576667,0.0,15.9567,0.0,0,1.0,1.0,66706.0,1941.950509,131.0,3.813682678,47.0,1.368267831,65610.0,1257.92722,59168.0,-0.007274686784,141.0,0.0,33.94468705,14857.0,15153.0,-296.0,23055.0,23553.0,-498.0,17956.0,18755.0,-799.0,300.0,345.0,-45.0,489.0,552.0,-63.0
106,LCK,27.25,1,19,7,51,0,0.6972477064,0.2568807339,0.9541284404000001,0,10.52043333,1,2,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.66565,0.0,14.98495,1.0,0,1.0,0.0,66251.0,2431.229358,105.0,3.853211009,34.0,1.247706422,56458.0,1409.284404,50683.0,0.1434749051,126.0,18.0,34.31192661,15852.0,16773.0,-921.0,24640.0,26668.0,-2028.0,18914.0,19437.0,-523.0,317.0,340.0,-23.0,520.0,574.0,-54.0
107,LCK,27.25,0,7,19,16,1,0.2568807339,0.6972477064,0.9541284404000001,1,10.52043333,2,1,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,10.66565,1.0,14.98495,0.0,1,0.0,1.0,29430.0,1080.0,75.0,2.752293578,40.0,1.467889908,46991.0,1061.87156,43898.0,-0.1434749051,116.0,5.0,34.93577982,16773.0,15852.0,921.0,26668.0,24640.0,2028.0,19437.0,18914.0,523.0,340.0,317.0,23.0,574.0,520.0,54.0
108,LCK,40.95,1,12,6,37,1,0.293040293,0.1465201465,0.4395604396,1,10.61348333,3,3,3.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,13.776,1.0,17.18888333,1.0,0,2.0,0.0,59743.0,1458.925519,202.0,4.932844933,93.0,2.271062271,73613.0,1151.980464,69580.0,-0.003887227374,134.0,28.0,30.72039072,14606.0,15400.0,-794.0,22808.0,23378.0,-570.0,18853.0,18512.0,341.0,315.0,328.0,-13.0,465.0,489.0,-24.0
109,LCK,40.95,0,6,12,14,0,0.1465201465,0.293040293,0.4395604396,0,10.61348333,3,3,2.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,13.776,0.0,17.18888333,0.0,1,0.0,2.0,103541.0,2528.473748,204.0,4.981684982,91.0,2.222222222,69550.0,1052.761905,69851.0,0.003887227374,155.0,9.0,32.86935287,15400.0,14606.0,794.0,23378.0,22808.0,570.0,18512.0,18853.0,-341.0,328.0,315.0,13.0,489.0,465.0,24.0
110,LCK,38.98333333,1,19,13,37,0,0.4873877726,0.3334758444,0.8208636169,1,10.20623333,3,3,2.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,12.124,1.0,12.58535,1.0,1,1.0,0.0,76478.0,1961.8127399999998,206.0,5.284309534,77.0,1.975203078,75522.0,1289.941,71135.0,0.08660580061,161.0,26.0,32.55237281,16134.0,15846.0,288.0,25328.0,26248.0,-920.0,18089.0,17392.0,697.0,284.0,284.0,0.0,425.0,448.0,-23.0
111,LCK,38.98333333,0,13,19,28,1,0.3334758444,0.4873877726,0.8208636169,0,10.20623333,3,3,3.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,12.124,0.0,12.58535,0.0,0,0.0,1.0,42829.0,1098.648995,163.0,4.181274049,86.0,2.206070971,65294.0,1027.572467,65230.0,-0.08660580061,143.0,12.0,32.50106883,15846.0,16134.0,-288.0,26248.0,25328.0,920.0,17392.0,18089.0,-697.0,284.0,284.0,0.0,448.0,425.0,23.0
